id,resource_id,ts,pp1,pp2,pp3,,already_know,articulationRate,boring,clear,complicated,discovery,engagement,exciting,f0Range,fast,interactive,long,mood,pause,time-stamp,time_stamp,too_fast,too_long,too_much,unclear,valuable
488,356,2021-12-13T17:56:34,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
496,357,2021-12-13T17:57:58,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
499,359,2021-12-13T17:59:43,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
519,361,2021-12-13T18:01:44,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
522,362,2021-12-13T18:02:16,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
526,366,2021-12-13T18:06:21,,,,,,,,false,,,3,true,,false,,false,,,,,,,,false,false
529,367,2021-12-13T18:07:51,,,,,,,,false,,,3,false,,false,,false,,,,,,,,true,false
538,368,2021-12-13T18:08:25,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,false
540,374,2021-12-13T18:14:52,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
542,375,2021-12-13T18:15:49,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
544,376,2021-12-13T18:16:26,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
546,382,2021-12-13T18:22:44,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
548,389,2021-12-13T18:29:47,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
550,390,2021-12-13T18:30:14,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
554,393,2021-12-13T18:33:08,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
558,394,2021-12-13T18:34:31,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
560,395,2021-12-13T18:35:20,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
566,398,2021-12-13T18:38:54,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
574,399,2021-12-13T18:39:53,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
576,403,2021-12-13T18:43:59,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
578,405,2021-12-13T18:45:17,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
580,409,2021-12-13T18:49:54,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
584,410,2021-12-13T18:50:45,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
586,411,2021-12-13T18:51:12,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
588,550,2021-12-13T21:10:25,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
590,559,2021-12-13T21:19:12,,,,,false,,,false,,false,3,false,,false,false,false,,,,,false,false,false,false,false
592,561,2021-12-13T21:21:22,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
596,563,2021-12-13T21:23:59,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
598,572,2021-12-13T21:32:30,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
602,580,2021-12-13T21:40:24,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
606,585,2021-12-13T21:45:58,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
608,586,2021-12-13T21:46:14,,,,,,,,false,,,2,false,,false,,false,,,,,,,,false,false
610,596,2021-12-13T21:56:13,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
616,602,2021-12-13T22:02:32,,,,,,,,false,,,3,false,,false,,true,,,,,,,,false,false
617,610,2021-12-13T22:10:20,,,,,,,,false,,,4,false,,false,,true,,,,,,,,false,false
619,612,2021-12-13T22:12:10,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
622,618,2021-12-13T22:18:56,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
623,619,2021-12-13T22:19:07,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,false
627,620,2021-12-13T22:20:50,,,,,,,,false,,,4,false,,true,,false,,,,,,,,false,false
633,622,2021-12-13T22:22:59,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,true
634,624,2021-12-13T22:24:45,,,,,,,,false,,,4,false,,true,,false,,,,,,,,false,false
635,626,2021-12-13T22:26:27,,,,,,,,false,,,4,false,,false,,false,,,,,,,,false,true
636,630,2021-12-13T22:30:00,,,,,,,,false,,,4,false,,false,,true,,,,,,,,false,false
647,634,2021-12-13T22:35:01,,,,,false,,,false,,false,3,true,,false,false,false,,,,,false,false,false,false,false
648,635,2021-12-13T22:35:03,,,,,,,,false,,,2,true,,false,,false,,,,,,,,false,false
652,636,2021-12-13T22:36:21,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
657,637,2021-12-13T22:37:42,,,,,,,,false,,,3,false,,true,,false,,,,,,,,false,false
659,639,2021-12-13T22:38:59,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
663,-248,2021-12-14T07:52:19,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
672,-167,2021-12-14T09:13:51,,,,,,,,false,,,3,false,,false,,false,,,,,,,,true,false
677,-165,2021-12-14T09:15:54,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
687,-164,2021-12-14T09:17:00,,,,,,,,false,,,3,false,,false,,false,,,,,,,,false,false
